seed,rewire_probability,average_clustering,base_slem,augmented_modal_radius,iterations_to_1e-6,final_error
20263000,0.0,0.5,0.9040294042680417,0.9970189469949142,261,9.903816931833287e-07
20263001,0.0,0.5,0.9040294042680417,0.9970189469949142,235,9.834438367342657e-07
20263002,0.0,0.5,0.9040294042680417,0.9970189469949142,281,9.757396935775042e-07
20263003,0.0,0.5,0.9040294042680417,0.9970189469949142,266,9.7274439952999e-07
20263004,0.0,0.5,0.9040294042680417,0.9970189469949142,275,9.810414251798516e-07
20263005,0.0,0.5,0.9040294042680417,0.9970189469949142,269,9.894537323640318e-07
20263006,0.0,0.5,0.9040294042680417,0.9970189469949142,261,9.644681196324667e-07
20263007,0.0,0.5,0.9040294042680417,0.9970189469949142,206,9.890678232017669e-07
20263008,0.0,0.5,0.9040294042680417,0.9970189469949142,276,9.55240585576167e-07
20263009,0.0,0.5,0.9040294042680417,0.9970189469949142,246,9.922133360554253e-07
20263100,0.1,0.32499999999999996,0.8713007692599944,0.9960105929005184,171,9.365197771171729e-07
20263101,0.1,0.32499999999999996,0.8747014016519312,0.9961151685480581,152,8.684831164264273e-07
20263102,0.1,0.38833333333333325,0.8919911646637839,0.9966475644243594,210,9.494676200261232e-07
20263103,0.1,0.33166666666666667,0.8870961968472967,0.9964967165017389,211,9.643134336878578e-07
20263104,0.1,0.41166666666666674,0.907509716919245,0.9971264216430079,303,9.862277833283528e-07
20263105,0.1,0.36333333333333334,0.8912858070507368,0.9966258216490491,229,9.755302007793953e-07
20263106,0.1,0.3516666666666667,0.9048090456294343,0.9970430187631352,249,9.815995102857578e-07
20263107,0.1,0.42666666666666664,0.9063449740807683,0.9970904482159709,264,9.617268506359467e-07
20263108,0.1,0.38,0.9005553174245231,0.9969117120897887,184,9.578851211111683e-07
20263109,0.1,0.43666666666666665,0.911312251707517,0.9972439011683928,303,9.800752678312818e-07
20263200,0.3,0.3433333333333333,0.9124044474462041,0.9972776551201071,302,9.684693743627903e-07
20263201,0.3,0.2671428571428571,0.8874488339704967,0.9965075805472129,195,9.970031488865105e-07
20263202,0.3,0.3333333333333333,0.9147850622526451,0.9973512434816586,329,9.621764988365644e-07
20263203,0.3,0.2533333333333333,0.863599434168455,0.9957739311861509,164,9.756239861338778e-07
20263204,0.3,0.13666666666666666,0.7928167559977893,0.9936097395774581,152,9.504021480366553e-07
20263205,0.3,0.36833333333333335,0.9113463882549755,0.9972449560762594,298,9.789913889557411e-07
20263206,0.3,0.195,0.8613576663951159,0.9957050856630216,162,9.736654817960044e-07
20263207,0.3,0.3188095238095238,0.9039421125812733,0.9970162519746193,249,9.931763763626478e-07
20263208,0.3,0.3983333333333333,0.8816816973213069,0.9963299680267291,183,9.848139653212407e-07
20263209,0.3,0.21333333333333332,0.8511457135879957,0.9953917234108759,147,8.251996874153456e-07
20263300,0.6,0.20833333333333334,0.8855529224408031,0.9964491770561922,218,9.375931391414349e-07
20263301,0.6,0.15571428571428572,0.8780569853747964,0.9962184035029722,175,9.088075691859876e-07
20263302,0.6,0.1380952380952381,0.8098323006966762,0.9941281860734448,154,9.913638271963343e-07
20263303,0.6,0.16166666666666668,0.8310707719685577,0.9947769060503303,159,9.619048907671957e-07
20263304,0.6,0.1954761904761905,0.8743175699586259,0.9961033627435304,152,9.566411400818708e-07
20263305,0.6,0.34238095238095234,0.9030231814426111,0.9969878829567018,261,9.758054373976144e-07
20263306,0.6,0.14333333333333334,0.8272788351488515,0.9946609523436462,160,9.635671422703052e-07
20263307,0.6,0.18738095238095237,0.8376162194558316,0.9949771929466182,155,9.803853596723755e-07
20263308,0.6,0.048333333333333325,0.783582870473515,0.993328871655227,160,9.571688227849595e-07
20263309,0.6,0.14214285714285715,0.806995949992955,0.9940416858368858,155,9.682099540442302e-07
20263400,1.0,0.21333333333333332,0.8315815321336432,0.9947925289325599,157,9.614170060623373e-07
20263401,1.0,0.15869047619047622,0.8293748481665679,0.994725039348433,156,9.392719352852019e-07
20263402,1.0,0.22214285714285711,0.8436263812032948,0.9951612492922142,154,9.944267782835414e-07
20263403,1.0,0.12166666666666667,0.83171694658215,0.9947966710962021,149,7.636191572037848e-07
20263404,1.0,0.20309523809523808,0.8259613733240935,0.9946206789415016,152,9.878396401707956e-07
20263405,1.0,0.17476190476190476,0.8428016567156256,0.99513598433568,164,9.740635751737114e-07
20263406,1.0,0.17404761904761906,0.8823133180484802,0.99634941388775,197,9.601485135568577e-07
20263407,1.0,0.26226190476190475,0.8353867277357283,0.9949089528057887,154,9.966610558863158e-07
20263408,1.0,0.17749999999999996,0.8224637511346209,0.9945137936125217,163,9.730511067451708e-07
20263409,1.0,0.22142857142857145,0.8593933889930895,0.9956447782512342,165,9.815867244300502e-07
